gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other
0,2848,1500.5,0,557.06,40.0,44.2,15.8
1,2692,1531.8,308,549.60,35.8,50.8,13.3
2,2580,1523.7,610,429.66,44.2,43.3,12.5
3,2412,1485.2,462,392.96,35.0,42.5,22.5
4,2404,1572.3,578,372.67,31.7,52.5,15.8
5,2740,1551.3,402,396.06,35.0,54.2,10.8
6,2472,1504.6,456,387.55,37.5,50.8,11.7
7,2426,1528.1,544,408.13,37.5,52.5,10.0
8,2682,1509.8,588,392.92,32.5,60.0,7.5
9,2624,1485.2,436,422.26,18.3,73.3,8.3
10,2524,1498.0,154,411.71,20.8,75.8,3.3
11,2408,1461.4,308,383.20,22.5,76.7,0.8
12,2232,1401.4,284,350.30,18.3,78.3,3.3
13,2478,1484.7,308,402.95,20.0,70.8,9.2
14,2340,1440.2,706,356.96,27.5,59.2,13.3
15,2796,1446.6,282,402.08,28.3,58.3,13.3
16,2482,1459.4,142,372.54,31.7,51.7,16.7
17,2186,1422.3,430,341.91,36.7,44.2,19.2
18,2364,1463.6,130,384.17,35.0,50.0,15.0
19,2410,1478.1,564,383.81,32.5,47.5,20.0
20,2464,1493.5,276,419.59,28.3,41.7,30.0
21,2386,1470.4,440,382.56,21.7,40.8,37.5
22,2342,1470.9,604,371.66,15.0,35.8,49.2
23,2300,1523.6,294,383.24,11.7,40.0,48.3
24,2362,1462.3,0,426.23,11.7,46.7,41.7
25,2370,1449.1,252,372.82,5.8,34.2,60.0
26,2488,1527.1,128,478.90,7.5,37.5,55.0
27,2178,1428.8,148,418.46,7.5,33.3,59.2
28,2328,1471.3,0,377.84,6.7,44.2,49.2
29,2628,1473.4,280,392.26,9.2,40.8,50.0
30,2394,1483.7,0,414.56,14.2,24.2,61.7
31,2284,1418.0,154,424.19,17.5,19.2,63.3
32,2196,1420.8,300,360.20,15.0,20.0,65.0
33,2182,1470.6,146,386.05,16.7,17.5,65.8
34,2522,1433.2,0,449.15,18.3,15.0,66.7
35,2184,1438.1,0,440.13,16.7,12.5,70.8
36,2396,1413.5,0,485.06,15.8,11.7,72.5
37,2456,1497.8,670,376.84,23.3,12.5,64.2
38,2188,1449.5,280,361.16,20.0,20.0,60.0
39,2340,1461.9,388,364.76,22.5,17.5,60.0
40,2324,1441.5,418,360.78,18.3,23.3,58.3
41,2320,1461.7,0,379.17,19.2,22.5,58.3
42,2054,1468.9,120,344.48,17.5,17.5,65.0
43,2452,1456.5,154,406.75,30.0,14.2,55.8
44,2398,1455.8,148,375.23,22.5,10.8,66.7
45,2200,1392.8,294,338.79,30.0,11.7,58.3
46,2414,1386.2,268,428.73,37.5,11.7,50.8
47,2264,1439.2,154,388.17,26.7,14.2,59.2
48,2154,1388.0,114,344.01,35.0,5.0,60.0
49,2238,1485.6,146,415.91,41.7,6.7,51.7
50,2508,1493.4,126,407.62,40.8,4.2,55.0
