gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_aggressor,best_resilient
0,2570,1567.5,0,519.83,36.7,40.8,22.5,2570,2382,5.37,5.46
1,2730,1487.8,256,512.33,33.3,42.5,24.2,2556,2730,5.37,5.46
2,2492,1545.1,0,518.91,32.5,36.7,30.8,2432,2424,5.77,5.52
3,2840,1529.9,0,514.91,25.0,37.5,37.5,2840,2380,5.77,5.52
4,2632,1588.1,0,510.98,30.0,35.8,34.2,2466,2632,5.77,5.52
5,2530,1543.2,0,532.95,30.0,40.8,29.2,2530,2414,5.85,5.52
6,2542,1576.0,0,487.00,30.0,48.3,21.7,1976,2542,5.85,5.52
7,2544,1531.9,154,439.84,16.7,65.8,17.5,1804,2544,5.85,5.52
8,2508,1502.5,0,487.75,15.0,73.3,11.7,2328,2508,5.85,5.52
9,2452,1599.6,0,454.42,19.2,68.3,12.5,2140,2452,5.85,5.61
10,2526,1545.9,0,453.14,16.7,74.2,9.2,2102,2526,5.85,5.61
11,2554,1586.7,0,490.39,18.3,75.8,5.8,2230,2554,5.85,5.61
12,2392,1552.1,0,482.55,11.7,82.5,5.8,2346,2392,5.89,5.61
13,2398,1498.3,0,443.82,12.5,77.5,10.0,2214,2398,5.89,5.61
14,2508,1543.0,0,516.25,15.0,76.7,8.3,2154,2508,5.89,5.61
15,2502,1540.3,0,470.14,13.3,80.8,5.8,2272,2502,5.89,5.61
16,2388,1573.4,0,451.49,15.0,80.8,4.2,2288,2388,5.89,5.61
17,2526,1577.1,0,477.48,15.8,82.5,1.7,2394,2526,5.89,5.61
18,2416,1503.4,0,491.76,11.7,86.7,1.7,2014,2416,5.89,5.61
19,2404,1548.1,0,522.60,9.2,89.2,1.7,1728,2404,5.89,5.61
20,2260,1482.5,130,473.53,8.3,90.8,0.8,2054,2260,5.89,5.61
21,2554,1586.9,118,516.17,10.0,87.5,2.5,2342,2554,5.89,5.61
22,2340,1544.6,0,443.83,9.2,86.7,4.2,2060,2340,5.89,5.61
23,2380,1525.8,0,489.66,15.0,79.2,5.8,2266,2380,5.89,5.61
24,2536,1531.2,0,461.66,15.8,79.2,5.0,2014,2536,5.89,5.61
25,2470,1573.8,0,466.84,13.3,80.0,6.7,2194,2470,5.89,5.61
26,2442,1557.0,0,462.30,11.7,85.8,2.5,1916,2442,5.89,5.61
27,2424,1539.9,0,474.67,6.7,84.2,9.2,1764,2424,5.89,5.61
28,2372,1546.7,0,485.93,9.2,82.5,8.3,2372,2248,5.89,5.61
29,2692,1547.8,0,509.70,15.0,78.3,6.7,2100,2692,5.89,5.61
30,2402,1499.0,0,473.41,11.7,85.8,2.5,2242,2402,5.89,5.61
31,2714,1535.9,0,527.38,13.3,84.2,2.5,2260,2714,6.00,5.61
32,2580,1510.2,0,491.18,11.7,85.0,3.3,1884,2580,6.00,5.61
33,2646,1562.8,308,448.94,11.7,85.8,2.5,2404,2646,6.00,5.61
34,2470,1562.6,0,473.78,16.7,80.0,3.3,2186,2470,6.00,5.61
35,2400,1514.1,0,502.20,16.7,76.7,6.7,2400,2374,6.00,5.61
36,2386,1541.2,154,469.18,19.2,70.8,10.0,2158,2386,6.00,5.61
37,2272,1537.7,0,463.45,12.5,76.7,10.8,2218,2272,6.00,5.61
38,2568,1511.3,0,523.33,17.5,74.2,8.3,2214,2568,6.00,5.61
