gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient
0,2824,1450.5,0,585.26,43.3,38.3,18.3,2824,2362,7.12,5.33
1,2526,1474.8,154,591.43,33.3,38.3,28.3,2310,2366,7.25,5.33
2,2612,1472.4,0,548.17,35.8,35.8,28.3,2282,2612,7.25,5.33
3,2534,1473.1,0,500.35,34.2,39.2,26.7,2358,2534,7.25,5.63
4,2264,1447.8,0,484.55,36.7,32.5,30.8,2158,2058,7.25,5.63
5,2356,1415.7,154,406.23,40.8,24.2,35.0,2104,2356,7.31,5.63
6,2524,1449.7,0,441.53,45.0,20.0,35.0,2114,2524,7.34,5.63
7,2202,1441.9,306,397.06,46.7,26.7,26.7,2202,1962,7.34,5.63
8,2390,1474.3,0,472.00,43.3,27.5,29.2,2328,2390,7.57,5.63
9,2456,1472.8,154,465.21,43.3,39.2,17.5,2308,2456,7.57,5.63
10,2320,1410.5,0,475.59,39.2,35.8,25.0,2304,2232,7.57,5.63
11,2292,1444.2,146,468.32,35.0,39.2,25.8,1974,2292,7.57,5.63
12,2712,1499.8,142,426.99,34.2,42.5,23.3,2712,2316,7.57,5.63
13,2534,1420.7,122,447.89,40.8,31.7,27.5,2228,2238,7.57,5.63
14,2244,1468.2,0,479.21,37.5,36.7,25.8,2244,2206,7.57,5.63
15,2216,1443.7,154,459.68,33.3,45.0,21.7,2080,2216,7.57,5.63
16,2372,1445.2,0,440.39,35.0,42.5,22.5,2372,2132,7.57,5.63
17,2202,1467.4,0,432.99,48.3,33.3,18.3,2132,2202,7.67,5.63
18,2278,1465.7,0,451.44,50.8,35.0,14.2,2278,2236,7.67,5.63
19,2372,1454.5,0,472.88,51.7,34.2,14.2,2218,2372,7.70,5.63
20,2514,1463.1,154,394.74,45.8,42.5,11.7,2226,2370,7.73,5.63
21,2240,1460.4,0,435.00,46.7,37.5,15.8,2214,2240,7.73,5.63
22,2270,1436.7,0,397.95,33.3,42.5,24.2,2036,2270,7.73,5.67
23,2236,1475.5,0,446.47,31.7,50.0,18.3,2228,2236,7.73,5.67
24,2466,1490.1,140,418.72,39.2,52.5,8.3,2414,2466,7.73,5.67
25,2270,1436.6,0,432.56,34.2,50.8,15.0,2184,2270,7.73,5.67
26,2504,1459.6,0,463.33,35.0,50.8,14.2,2504,2140,7.73,5.67
27,2512,1473.3,146,473.10,46.7,40.8,12.5,2222,2512,7.73,5.67
28,2230,1432.7,0,441.25,35.0,50.0,15.0,2042,2230,7.73,5.67
29,2352,1465.6,154,432.04,35.0,56.7,8.3,2200,2352,7.73,5.67
30,2368,1455.7,0,500.70,35.0,55.8,9.2,2368,2294,7.73,5.67
31,2630,1478.0,0,451.29,31.7,61.7,6.7,2234,2630,7.73,5.67
32,2554,1445.7,0,487.91,35.8,59.2,5.0,2482,2554,7.73,5.67
33,2458,1422.4,154,465.42,40.8,51.7,7.5,2074,2458,7.73,5.67
34,2328,1407.0,154,412.07,40.8,53.3,5.8,2296,2328,7.73,5.67
35,2482,1481.4,144,465.21,36.7,56.7,6.7,2274,2482,7.73,5.67
36,2474,1488.6,116,438.28,32.5,55.0,12.5,2062,2474,7.73,5.71
37,2196,1445.8,272,392.61,23.3,65.0,11.7,2196,2082,7.73,5.71
38,2264,1443.4,128,429.23,34.2,54.2,11.7,2236,2264,7.73,5.71
39,2252,1480.6,0,455.08,42.5,50.8,6.7,2248,2252,7.73,5.71
40,2338,1409.6,288,403.40,36.7,57.5,5.8,2058,2338,7.73,5.71
41,2214,1409.1,154,384.89,35.8,57.5,6.7,2074,2214,7.73,5.71
42,2472,1464.9,0,473.99,40.0,53.3,6.7,2070,2472,7.74,5.71
43,2430,1411.4,0,475.73,41.7,48.3,10.0,2192,2430,7.74,5.71
44,2374,1463.7,154,389.02,36.7,58.3,5.0,2098,2374,7.74,5.74
45,2314,1478.9,0,401.78,34.2,62.5,3.3,2118,2314,7.74,5.74
46,2644,1406.7,0,446.42,30.0,67.5,2.5,2270,2644,7.74,5.74
47,2224,1436.4,308,419.21,30.0,65.8,4.2,2146,2224,7.82,5.74
48,2498,1379.7,0,476.00,31.7,62.5,5.8,2498,2364,7.82,5.74
49,2200,1454.0,154,422.47,32.5,61.7,5.8,2200,2088,7.82,5.76
50,2448,1428.5,0,489.09,33.3,59.2,7.5,2046,2448,7.82,5.86
51,2484,1449.6,152,460.06,31.7,62.5,5.8,2484,2384,7.82,5.86
52,2196,1372.2,152,417.54,26.7,62.5,10.8,1920,2172,7.82,5.87
53,2484,1421.3,140,450.55,21.7,62.5,15.8,2326,2484,7.82,5.87
54,2438,1427.2,0,429.68,24.2,65.0,10.8,1894,2438,7.82,5.89
