gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain
0,4727,2870.9,417,952.20,42.5,40.8,16.7,4154,4727,7.77,5.59,4727,2870.9,0
1,4727,2955.9,501,844.17,41.7,37.5,20.8,4154,4727,7.77,5.59,4405,2892.2,322
2,4727,3042.0,418,741.68,36.7,38.3,25.0,4405,4727,7.77,5.59,4405,2929.6,323
3,4727,2993.0,492,841.02,40.8,40.0,19.2,4405,4727,7.77,5.59,4439,2945.5,288
4,4727,3033.2,630,689.11,45.8,31.7,22.5,4405,4727,7.77,5.59,4316,2967.4,411
5,4727,3033.8,411,665.61,40.0,32.5,27.5,4405,4727,7.77,5.59,4132,2984.0,595
6,4764,3032.8,433,717.28,34.2,32.5,33.3,4764,4727,7.77,5.59,4764,2996.2,0
7,4764,2953.8,594,771.04,37.5,25.0,37.5,4764,4727,7.77,5.59,4220,2985.6,544
8,4764,3100.1,500,692.67,42.5,25.8,31.7,4764,4727,7.77,5.59,4661,3014.2,103
9,4764,3084.3,668,672.25,45.0,24.2,30.8,4764,4727,7.77,5.59,4315,3031.7,449
10,4764,3083.5,409,663.01,35.0,36.7,28.3,4764,4727,7.77,5.59,4221,3044.7,544
11,4764,3069.6,406,710.37,41.7,30.0,28.3,4764,4727,7.77,5.59,4102,3050.9,662
12,4764,3048.9,414,698.67,30.0,38.3,31.7,4764,4727,7.77,5.59,4443,3050.4,321
13,4764,3043.4,423,636.14,34.2,34.2,31.7,4764,4727,7.77,5.59,4281,3048.7,483
14,4764,3056.8,418,665.39,39.2,37.5,23.3,4764,4727,7.77,5.60,4468,3050.7,296
15,4764,3048.0,513,688.39,38.3,41.7,20.0,4764,4727,7.77,5.60,4153,3050.0,611
16,4764,3077.5,793,655.67,43.3,38.3,18.3,4764,4727,7.77,5.60,4140,3056.9,624
17,4764,3050.9,489,640.63,37.5,31.7,30.8,4764,4727,7.77,5.60,4270,3055.4,495
18,4764,3033.9,554,658.90,29.2,33.3,37.5,4764,4727,7.77,5.60,4246,3050.0,518
19,4764,3071.7,406,715.25,28.3,28.3,43.3,4764,4727,7.77,5.60,4312,3055.4,452
20,4764,2984.9,586,686.00,22.5,29.2,48.3,4764,4727,7.77,5.60,4401,3037.8,363
21,4764,2997.8,497,802.41,27.5,25.0,47.5,4764,4727,7.77,5.60,4555,3027.8,209
22,4764,2977.5,411,687.10,33.3,22.5,44.2,4764,4727,7.77,5.60,4237,3015.2,527
23,4764,3095.4,429,698.71,37.5,27.5,35.0,4764,4727,7.77,5.60,4347,3035.3,417
24,4764,3086.6,418,674.47,41.7,33.3,25.0,4764,4727,7.77,5.60,4177,3048.1,587
25,4764,3101.4,575,692.33,34.2,35.8,30.0,4764,4727,7.77,5.60,4156,3061.4,608
26,4764,3083.5,672,686.49,33.3,32.5,34.2,4764,4727,7.77,5.60,4278,3066.9,486
27,4764,3099.3,595,644.29,40.0,25.8,34.2,4764,4727,7.77,5.60,4274,3075.0,491
28,4764,2974.0,710,612.09,48.3,22.5,29.2,4764,4727,7.77,5.60,4032,3049.8,732
29,4764,3116.7,508,673.23,41.7,30.0,28.3,4764,4727,7.77,5.60,4586,3066.5,178
30,4764,2979.8,412,734.07,45.0,32.5,22.5,4764,4727,7.77,5.60,4173,3044.8,591
31,4764,2944.9,494,743.48,37.5,41.7,20.8,4764,4727,7.99,5.60,4186,3019.9,578
32,4764,2985.5,412,781.15,39.2,44.2,16.7,4764,4727,7.99,5.60,4330,3011.3,434
33,4764,3112.8,664,655.73,42.5,46.7,10.8,4764,4727,7.99,5.60,4304,3036.6,460
