gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late
0,10780,4872.8,676,1871.79,44.5,41.5,14.0,10780,10016,7.40,5.38,10780,4872.8,0,35426,12424
1,12628,5430.8,512,1950.28,45.0,38.5,16.5,12628,10945,7.40,5.38,12628,5012.3,0,53292,15445
2,12628,5948.5,616,1937.36,48.0,35.0,17.0,12628,11703,7.40,5.47,12211,5246.3,417,47253,17819
3,12628,5981.7,1024,1883.50,48.5,35.0,16.5,12628,11703,7.40,5.47,11592,5430.2,1036,45958,18395
4,12628,6111.5,401,1747.59,39.5,40.5,20.0,12628,11703,7.61,5.48,10363,5600.5,2265,39423,18942
5,12628,6286.8,863,1731.44,38.0,44.0,18.0,12628,11703,7.61,5.48,11322,5772.1,1306,37975,19727
6,12628,6217.0,875,1899.08,40.0,43.5,16.5,12628,11703,7.61,5.48,11549,5883.3,1079,43630,19298
7,13107,6320.4,484,1937.35,30.5,46.0,23.5,13107,11703,7.61,5.48,13107,5992.6,0,51092,19683
8,13107,6217.9,523,1758.48,33.0,40.5,26.5,13107,11703,7.61,5.48,10972,6048.9,2135,40682,18920
9,13107,6402.5,887,1883.74,36.5,37.5,26.0,13107,12355,7.61,5.68,12355,6137.3,752,49072,20223
10,14382,6524.6,671,2046.54,34.5,34.5,31.0,14382,13327,8.11,5.68,14382,6234.1,0,59469,20782
11,14382,6629.6,1172,2021.33,35.0,35.0,30.0,14382,13327,8.11,5.68,13955,6333.0,427,54778,21254
12,14382,6633.0,720,2002.06,34.0,33.5,32.5,14382,13327,8.11,5.68,11725,6408.0,2657,43904,21077
13,14382,6412.3,634,1960.01,39.5,32.5,28.0,14382,13327,8.11,5.68,13953,6409.1,429,57344,20446
14,14382,6465.4,634,1894.15,40.0,37.0,23.0,14382,13327,8.11,5.68,11613,6423.2,2769,47097,20767
15,14382,6493.0,537,1823.48,44.5,35.5,20.0,14382,13327,8.11,5.68,12560,6440.6,1822,51141,20584
16,14382,6572.4,1522,1834.55,44.5,30.0,25.5,14382,13327,8.11,5.68,12484,6473.6,1898,48583,21110
17,14382,6614.2,1514,2076.60,42.5,33.0,24.5,14382,13327,8.11,5.68,13529,6508.7,852,51718,21368
18,14382,6844.8,1597,1897.35,44.5,36.0,19.5,14382,13327,8.11,5.68,11977,6592.7,2405,51918,22438
19,14382,6721.2,420,2189.58,46.5,31.5,22.0,14382,13327,8.11,5.68,12712,6624.9,1670,48084,22251
20,14382,6706.3,1146,1985.94,51.0,32.0,17.0,14382,13327,8.11,5.68,11619,6645.2,2763,46913,21764
21,14382,6829.8,441,1883.80,51.5,31.0,17.5,14382,13327,8.11,5.68,12052,6691.4,2330,49699,22464
22,14382,6864.6,1664,1816.78,46.0,32.0,22.0,14382,13327,8.11,5.68,13172,6734.7,1210,52777,22906
23,14382,6957.6,925,2015.43,50.0,35.5,14.5,14382,13327,8.11,5.68,13248,6790.4,1133,52501,22933
24,14382,6993.6,623,2250.46,51.0,32.5,16.5,14382,13327,8.11,5.68,11999,6841.2,2383,44638,23197
25,14382,6696.5,1412,1839.14,53.5,30.5,16.0,14382,13327,8.11,5.68,11980,6805.0,2402,47528,21615
26,14382,7108.8,752,1985.90,57.5,33.5,9.0,14382,13327,8.11,5.68,11686,6881.0,2696,47104,23835
27,14382,6972.1,1415,2098.10,56.5,33.0,10.5,14382,13327,8.11,5.68,11739,6903.8,2643,41451,23291
28,14382,6691.0,898,2044.67,51.0,38.5,10.5,14382,13327,8.11,5.68,12972,6850.6,1410,54216,21998
29,14382,7091.1,419,2101.76,51.5,37.0,11.5,14382,13327,8.11,5.68,13864,6910.7,518,57811,24313
30,14382,6832.7,420,2173.13,55.0,31.5,13.5,14382,13327,8.11,5.68,13953,6891.2,429,57676,23348
31,14382,6945.7,422,2088.92,54.0,30.0,16.0,14382,13377,8.11,5.68,13377,6904.8,1005,54855,23728
32,14382,6734.1,1602,1999.11,45.5,35.5,19.0,14382,13377,8.11,5.68,11681,6862.2,2701,47221,22419
33,14382,6714.1,562,2020.01,45.0,39.0,16.0,14382,13377,8.11,5.68,11564,6825.1,2818,49561,22323
34,14382,6912.9,548,2110.94,42.5,44.5,13.0,14382,13377,8.11,5.68,12052,6847.1,2330,49659,23565
35,14382,6767.5,1052,1993.17,35.0,52.5,12.5,14382,13377,8.11,5.68,12304,6827.2,2078,47808,22707
