gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late,best_card,avg_card
0,20139,7496.8,455,3455.28,44.6,38.9,16.4,20139,16430,7.24,5.46,20139,7496.8,0,46301,13512,84152,27206
1,20139,8356.2,882,3585.80,42.1,37.1,20.7,20139,16430,7.45,5.46,17600,7711.6,2539,41206,16125,76982,32288
2,20139,9522.5,1076,3580.19,38.6,31.4,30.0,20139,16917,7.45,5.46,20109,8164.4,30,51551,19546,94877,38597
3,20331,10228.1,676,3557.65,40.7,31.1,28.2,20331,18887,7.45,5.46,20331,8680.3,0,51211,21507,96948,42441
4,20499,10346.0,443,3611.14,42.5,21.8,35.7,20331,18887,7.45,5.46,20499,9096.7,0,51266,21819,94210,43104
5,20499,10686.4,1699,3258.81,35.0,28.6,36.4,20331,19274,7.45,5.54,19274,9494.2,1225,44839,22789,84775,45080
6,21493,10657.8,1828,3281.17,39.3,25.0,35.7,20331,19274,7.52,5.54,21493,9785.1,0,55451,22603,108755,44763
7,21493,10623.9,1197,3445.78,43.2,26.4,30.4,20331,19274,7.52,5.54,19237,9994.8,2256,45727,22674,88918,44752
8,25213,10935.0,463,3436.28,38.6,30.7,30.7,25213,19274,7.52,5.61,25213,10229.8,0,65626,23571,126318,46546
9,25213,11169.8,725,3658.29,37.5,26.1,36.4,25213,20400,7.52,5.61,22678,10464.8,2534,56232,24149,107897,47629
10,25213,10906.3,1584,3539.44,28.6,29.6,41.8,25213,20400,7.52,5.66,21708,10575.2,3505,50893,23413,98264,46081
11,25213,10871.7,1868,3526.12,24.6,30.7,44.6,25213,21869,7.52,5.66,21869,10649.3,3344,55446,23316,100595,46006
12,25213,11204.9,462,3675.00,26.8,33.9,39.3,25213,22426,7.52,5.66,22426,10788.2,2786,54486,24311,108541,47767
13,25213,11405.9,1295,3694.04,21.1,43.2,35.7,25213,24641,7.86,5.66,24641,10942.6,571,65286,24862,116497,49044
14,25213,11749.3,704,3618.90,20.0,48.9,31.1,25213,24641,7.86,5.66,23057,11144.3,2155,58462,25888,108131,50989
15,25213,11336.2,462,3947.88,23.2,43.6,33.2,25213,24641,7.86,5.66,23042,11192.3,2171,57934,24684,111221,48550
16,25213,11837.9,1332,3812.70,27.1,41.8,31.1,25213,24641,7.86,5.66,22076,11353.7,3137,52925,26073,100554,51471
17,25213,11402.9,1158,3672.41,29.6,41.8,28.6,25213,24641,7.86,5.66,20824,11366.0,4388,52919,24994,97295,49240
18,25213,11698.9,597,3658.19,37.1,37.9,25.0,25213,24641,7.86,5.66,23947,11449.2,1266,60008,25666,117141,50670
19,25213,11614.0,781,3532.39,37.9,42.5,19.6,25213,24641,7.86,5.66,20942,11490.4,4270,50572,25503,97225,50516
20,25213,11827.3,466,3521.02,31.8,47.9,20.4,25213,24641,7.86,5.66,21677,11574.6,3535,53585,26260,102786,51720
21,25213,11655.4,525,3730.54,31.1,47.1,21.8,25213,24641,7.86,5.66,23193,11594.8,2019,58999,25639,112471,50769
22,25213,12137.0,2035,3645.19,31.8,51.1,17.1,25213,24641,7.86,5.66,22684,11730.4,2528,55109,27141,106851,53842
23,25213,12381.0,2431,3570.97,32.1,55.0,12.9,25213,24641,7.86,5.66,23457,11893.0,1756,57290,27681,109649,54711
24,25213,12034.5,1461,3570.79,27.5,54.6,17.9,25213,24641,7.86,5.66,22234,11928.4,2979,54924,26707,103394,52825
25,25213,12028.4,1185,3524.22,28.2,52.9,18.9,25213,24641,7.86,5.66,21252,11953.4,3960,52915,26712,101471,52926
26,25213,12462.1,498,3827.15,24.3,51.4,24.3,25213,24641,7.86,5.66,24405,12080.6,808,60512,28157,117895,55618
27,28152,11873.1,895,3806.04,25.7,53.9,20.4,25213,28152,7.86,5.66,28152,12028.7,0,69446,26305,131143,52119
28,28152,11993.4,1152,3845.10,23.9,55.0,21.1,25213,28152,7.86,5.68,22220,12019.9,5932,55463,26589,103339,52589
29,28152,12119.0,463,4090.28,20.0,61.4,18.6,25213,28152,7.86,5.68,25909,12044.7,2243,67041,27085,127252,53454
30,28152,12307.9,524,3918.81,21.8,57.1,21.1,25213,28152,7.86,5.68,21518,12110.5,6634,53317,27645,102110,54648
31,28152,12283.5,506,3718.83,21.8,62.9,15.4,25213,28152,7.86,5.68,22079,12153.7,6073,54773,27431,103634,54359
32,28152,12225.0,642,3943.84,23.6,56.8,19.6,25213,28152,7.86,5.68,21514,12171.5,6638,55738,27442,104729,54092
33,28152,12786.7,990,3675.17,21.4,61.8,16.8,25213,28152,7.86,5.68,23454,12325.3,4698,63080,28908,117157,57147
34,28152,12307.4,778,3648.82,25.0,59.3,15.7,25213,28152,7.86,5.68,21211,12320.8,6941,53598,27622,101385,54590
35,28152,12373.5,2258,3714.06,25.4,55.4,19.3,25213,28152,7.86,5.68,22644,12334.0,5508,58402,27709,111921,54773
36,28152,12568.7,513,3795.02,25.4,52.1,22.5,25213,28152,7.96,5.68,23509,12392.7,4643,56858,28308,111726,55932
37,28152,12980.7,1047,4017.58,26.1,52.1,21.8,25313,28152,7.96,5.68,25331,12539.7,2821,61127,29342,118604,57839
38,28152,12528.4,798,3598.86,28.9,56.1,15.0,25313,28152,8.03,5.79,22028,12536.9,6124,58998,28253,107845,55917
39,28152,12900.7,1438,3782.94,31.8,55.4,12.9,25313,28152,8.03,5.79,24377,12627.8,3775,63514,29294,117249,57877
40,28152,12797.7,995,3782.66,34.6,55.0,10.4,25313,28152,8.03,5.79,23882,12670.3,4270,62400,28935,116338,57086
41,28152,12899.1,3101,3490.81,35.4,56.8,7.9,25313,28152,8.05,5.82,25538,12727.5,2614,66362,29332,125868,58209
42,28152,12974.8,2603,3999.64,28.2,59.6,12.1,25313,28152,8.05,5.82,22798,12789.3,5354,54998,29582,103463,58389
43,28152,12896.1,3397,3770.36,23.6,61.1,15.4,25313,28152,8.05,5.82,23622,12816.0,4529,58269,29100,116393,57643
44,28152,12610.7,443,3658.81,27.9,57.5,14.6,25313,28152,8.05,5.82,22697,12764.7,5454,55106,28668,110227,56815
45,28152,12520.3,1120,3835.90,28.2,60.4,11.4,25313,28152,8.05,5.82,23428,12703.6,4724,63853,28290,114493,56203
46,28152,13124.5,916,3882.11,30.7,58.2,11.1,25313,28152,8.05,5.87,22168,12808.8,5984,55358,29972,102669,59269
47,28152,12706.8,1373,3611.00,26.1,62.5,11.4,25313,28152,8.05,5.89,22734,12783.3,5418,59024,28852,110996,57172
48,28152,13275.7,1075,4044.87,24.6,64.3,11.1,25313,28152,8.05,5.89,22690,12906.4,5462,54677,30360,107580,60256
49,28152,13256.1,547,4030.74,21.8,67.1,11.1,25313,28152,8.05,5.89,24130,12993.8,4022,64536,30364,120747,59887
50,28152,13068.7,877,3741.21,25.7,62.9,11.4,25313,28152,8.05,5.89,26587,13012.5,1565,68107,29709,132473,58819
51,28152,12840.0,467,3985.99,26.1,61.4,12.5,25313,28152,8.05,5.89,23899,12969.4,4252,56933,29095,113047,57678
52,28152,13228.2,480,4155.31,30.4,62.9,6.8,25313,28152,8.05,5.89,25685,13034.1,2467,66394,30238,128472,59790
