gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
0,19392,8552.5,37,3406.51,31.3,52.8,15.9,89.7,52.8,19392,14676,10.08,6.68,19392,8552.5,0,0.00,0.00,25697.0,0,0.1000,0.1200,0.1200,59744,16293,114495,32934
1,19392,9364.1,37,3036.83,31.6,50.6,17.8,91.9,50.6,19392,14971,10.08,6.81,17928,8755.4,1464,0.00,2.37,26507.0,0,0.1000,0.1200,0.1200,58272,21143,114855,42384
2,19392,9982.2,740,2792.67,35.3,45.9,18.8,94.4,45.9,19392,16653,10.08,7.02,16962,9062.1,2430,0.00,5.96,27293.6,0,0.1000,0.1200,0.1200,57593,25520,114757,50910
3,19392,10023.0,124,2484.69,35.3,45.9,18.8,94.4,45.9,19392,16653,10.08,7.02,15366,9302.3,4026,0.00,8.77,27458.8,0,0.1000,0.1200,0.1200,46447,25878,94316,51721
4,19392,10003.9,241,2679.63,38.1,44.1,17.8,94.3,44.1,19392,16653,10.08,7.02,14739,9477.7,4653,0.00,10.82,27544.4,0,0.1000,0.1199,0.1200,46840,25894,95587,51876
5,19392,10055.6,39,2705.45,32.8,44.7,22.5,96.3,44.7,19392,16653,10.13,7.02,17578,9622.2,1814,0.00,12.51,27635.1,1,0.0999,0.1199,0.1199,56690,26096,108137,52150
6,19392,10173.6,37,2579.03,31.6,48.4,20.0,93.9,48.4,19392,16653,10.13,7.02,16240,9760.0,3152,0.00,14.12,27815.0,2,0.0999,0.1198,0.1199,54376,26845,109295,53807
7,19392,10118.8,37,2802.48,34.1,44.7,21.3,95.9,44.7,19392,16653,10.13,7.02,16606,9849.7,2786,0.00,15.17,27731.1,0,0.0999,0.1198,0.1199,58290,26017,108938,52148
8,19392,9967.7,37,2758.35,33.4,43.1,23.4,97.1,43.1,19392,16653,10.13,7.29,17354,9879.2,2038,0.00,15.51,27625.7,1,0.0998,0.1197,0.1198,67279,25243,128975,50524
9,19392,10216.0,152,2846.71,35.9,39.1,25.0,98.4,39.1,19392,16653,10.13,7.29,17840,9963.4,1553,0.00,16.50,27899.9,2,0.0998,0.1196,0.1198,59766,26862,108609,53576
10,19392,10255.9,37,2419.34,40.3,38.8,20.9,96.5,40.3,19392,16653,10.13,7.29,14819,10036.5,4573,0.00,17.35,28028.9,0,0.0997,0.1196,0.1197,56002,27503,104930,54856
