gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late,best_card,avg_card
0,16488,9355.0,47,3590.62,33.3,47.5,19.2,15176,16488,8.97,5.49,16488,9355.0,0,39610,18072,79069,36338
1,18378,10076.8,1489,3075.32,31.7,47.8,20.6,15605,16527,8.97,5.58,18378,9535.4,0,70452,23335,135962,46590
2,18378,10509.4,49,2992.16,30.0,48.9,21.1,15963,17399,8.97,5.58,17399,9778.9,979,62661,26413,114146,52414
3,18378,10766.8,41,2729.75,28.1,53.3,18.6,15963,17558,8.97,5.58,17558,10025.9,820,61460,27498,116188,54573
4,18378,10783.8,859,2738.64,27.8,50.8,21.4,16243,17558,8.97,5.58,16243,10215.4,2135,54317,27473,93322,54383
5,18378,10621.7,404,2972.77,25.6,53.9,20.6,16243,17558,8.97,5.58,17176,10317.0,1202,49772,26283,96660,52216
6,18378,10723.1,181,2898.17,28.3,50.8,20.8,16243,17722,8.97,5.58,17722,10418.5,656,59851,27443,112857,54318
7,18378,10797.4,219,2863.58,29.7,49.2,21.1,16243,17722,8.97,5.58,16979,10513.2,1399,74986,27886,138447,55079
8,18378,11186.1,1945,2534.39,27.2,50.8,21.9,16469,17722,8.97,5.58,16884,10681.5,1493,56182,29299,107225,57979
9,18378,10923.8,225,2878.90,27.5,50.8,21.7,17117,17722,8.97,5.58,17117,10742.0,1261,69009,28021,132933,55470
10,18378,10703.9,41,2782.98,28.1,57.2,14.7,17117,17722,8.97,5.58,15997,10732.5,2381,48359,26866,94962,53432
11,18378,11030.4,544,2911.27,28.9,54.4,16.7,17512,17722,8.97,5.58,17616,10807.0,761,49178,28865,92578,57010
12,18455,11109.0,319,2822.85,30.8,55.0,14.2,17512,18455,8.97,5.58,18455,10882.5,0,61283,29157,112070,57586
13,18455,10823.2,41,3011.88,25.0,57.5,17.5,17512,18455,8.97,5.58,17299,10867.7,1156,49749,27746,93444,55037
14,19004,10977.2,747,2911.26,23.6,55.8,20.6,17512,19004,8.97,5.58,19004,10895.0,0,68541,28450,134482,56417
15,19004,11050.3,233,2842.33,22.8,60.0,17.2,17512,19004,8.97,5.58,16265,10933.9,2739,54724,28808,108968,57296
16,19004,11063.4,41,2863.83,20.3,63.6,16.1,17512,19004,8.97,5.58,17005,10966.2,1999,58479,28738,114829,57185
17,19004,10745.8,41,2885.11,19.4,63.9,16.7,17512,19004,8.97,5.58,16286,10911.1,2718,64821,27514,122835,54599
18,19004,10987.6,396,2756.27,20.6,58.9,20.6,17512,19004,8.97,5.58,18080,10930.3,925,62924,28686,124704,57094
19,19004,10888.2,608,2757.90,19.7,60.6,19.7,17512,19004,8.97,5.58,16493,10919.7,2511,53982,27980,105304,55599
20,19004,11138.2,397,2830.32,14.4,62.5,23.1,17512,19004,8.97,5.58,17597,10974.4,1407,66198,28671,124570,56907
