gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
0,16268,8370.2,37,3259.05,35.9,49.7,14.4,90.5,49.7,13822,14589,8.70,6.27,16268,8370.2,0,0.00,0.00,22370.9,0,0.1000,0.1200,0.1200,43674,15526,82344,31261
1,16268,9364.3,392,2799.48,34.7,53.1,12.2,87.4,53.1,15544,14589,8.74,6.33,15544,8618.7,724,0.00,2.97,23377.2,0,0.1000,0.1200,0.1200,49844,21550,96537,43047
2,16268,9552.3,131,2529.88,31.9,52.8,15.3,89.4,52.8,15544,14589,8.74,6.33,14165,8852.1,2103,0.00,5.76,23680.1,0,0.1000,0.1200,0.1200,23477,22869,45524,45686
3,16268,10106.9,603,2288.43,31.3,53.4,15.3,89.0,53.4,15544,16187,8.95,6.47,16187,9165.8,82,0.00,9.51,24207.7,0,0.1000,0.1200,0.1200,51120,25488,100171,50740
4,16268,9721.4,78,2566.67,25.3,63.1,11.6,78.6,63.1,15544,16187,8.95,6.47,14143,9304.7,2125,0.00,11.16,24031.9,0,0.1000,0.1199,0.1200,40856,23905,81571,47551
5,16268,9894.8,37,2505.43,23.4,65.9,10.6,74.9,65.9,15544,16187,8.95,6.47,15626,9452.2,642,0.00,12.93,24199.1,1,0.0999,0.1199,0.1199,55132,24593,103324,48858
6,18115,9858.2,37,2552.93,24.4,64.1,11.6,77.5,64.1,15544,18115,8.95,6.47,18115,9553.7,0,11.35,14.14,26082.7,0,0.0999,0.1198,0.1199,63634,24504,123239,48814
7,18115,9602.5,1176,2525.20,27.5,61.9,10.6,79.5,61.9,15544,18115,8.95,6.47,15249,9565.9,2866,11.35,14.29,25895.8,0,0.0999,0.1198,0.1199,46771,23179,89599,46345
8,18115,9871.3,37,2425.93,23.8,63.8,12.5,78.2,63.8,15544,18115,8.95,6.47,15248,9642.3,2867,11.35,15.20,25984.5,1,0.0998,0.1197,0.1198,55894,23550,99527,47048
9,18115,9965.8,215,2459.60,18.8,72.2,9.1,65.3,72.2,15544,18115,9.07,6.47,16098,9723.2,2017,11.35,16.16,26257.0,2,0.0998,0.1196,0.1198,54222,25146,101176,50145
10,18115,9936.5,179,2538.55,19.1,72.8,8.1,64.0,72.8,15544,18115,9.07,6.47,15781,9776.5,2334,11.35,16.80,26223.7,0,0.0997,0.1196,0.1197,44143,24764,87802,49382
11,18115,10094.8,517,2423.13,18.4,72.5,9.1,64.8,72.5,15544,18115,9.07,6.47,14506,9856.1,3609,11.35,17.75,26296.8,1,0.0996,0.1195,0.1196,38766,25028,73406,49846
12,18115,9842.2,804,2575.47,18.1,73.1,8.8,63.7,73.1,15544,18115,9.07,6.47,16854,9852.6,1261,11.35,17.71,26178.6,2,0.0996,0.1194,0.1196,61336,24249,115126,48292
13,18115,9765.5,37,2573.53,23.8,69.7,6.6,68.0,69.7,15544,18115,9.07,6.47,16479,9830.8,1636,11.35,17.45,26084.1,3,0.0995,0.1193,0.1195,52275,23660,103242,47217
14,18115,10069.0,1337,2324.26,23.4,65.0,11.6,76.4,65.0,15544,18115,9.07,6.47,17613,9890.4,501,11.35,18.16,26362.8,4,0.0994,0.1192,0.1194,63892,25385,120564,50474
15,18115,9811.9,441,2603.52,23.4,65.3,11.3,75.9,65.3,15544,18115,9.07,6.47,14880,9870.7,3235,11.35,17.93,26186.5,0,0.0994,0.1190,0.1194,44357,24213,86631,48368
16,18115,9840.8,215,2439.44,17.8,68.1,14.1,72.7,68.1,15544,18115,9.07,6.47,14991,9863.3,3123,11.35,17.84,26160.6,1,0.0993,0.1189,0.1193,46275,24045,89942,48109
17,18115,10103.9,748,2553.49,20.6,65.0,14.4,77.1,65.0,15544,18115,9.07,6.47,15571,9923.4,2544,11.35,18.56,26432.3,2,0.0992,0.1188,0.1192,50749,25763,98632,51170
18,18115,10083.9,37,2340.53,20.9,65.0,14.1,77.1,65.0,15544,18115,9.07,6.47,16251,9963.5,1864,11.35,19.04,26380.1,0,0.0991,0.1186,0.1191,59548,25261,112728,50311
19,18115,10167.1,215,2390.80,19.4,64.1,16.6,78.7,64.1,15544,18115,9.20,6.47,15324,10014.4,2791,11.35,19.64,26540.0,1,0.0990,0.1185,0.1190,54209,26168,105320,52150
20,18115,9929.3,56,2293.61,26.6,57.8,15.6,85.6,57.8,15544,18115,9.20,6.47,15222,9993.1,2893,11.35,19.39,26347.5,0,0.0989,0.1183,0.1189,55372,24941,102576,49729
21,18115,9890.4,518,2415.82,29.4,55.3,15.3,87.6,55.3,15544,18115,9.20,6.47,15212,9967.5,2903,11.35,19.08,26224.4,1,0.0988,0.1181,0.1188,44664,24164,90251,48319
22,18115,10131.4,2136,2321.29,36.3,49.1,14.7,90.9,49.1,15544,18115,9.20,6.47,15268,10008.4,2847,11.35,19.57,26443.0,2,0.0986,0.1180,0.1186,53505,25501,100154,50981
23,18115,9934.7,717,2487.90,35.3,54.1,10.6,85.8,54.1,15544,18115,9.20,6.47,17459,9990.0,656,11.35,19.35,26348.0,0,0.0985,0.1178,0.1185,64646,24929,121796,49811
24,18115,10008.3,78,2456.41,34.1,51.9,14.1,89.3,51.9,15544,18115,9.20,6.47,15496,9994.6,2619,11.35,19.41,26478.6,1,0.0984,0.1176,0.1184,58121,25841,110059,51400
25,18115,10003.0,37,2489.68,38.1,51.3,10.6,87.1,51.3,15544,18115,9.29,6.47,15472,9996.7,2643,11.35,19.43,26411.3,2,0.0983,0.1174,0.1183,46697,25350,89326,50573
26,18115,9940.7,37,2603.82,41.3,50.0,8.8,85.8,50.0,16505,18115,9.29,6.47,16505,9982.7,1610,11.35,19.27,26373.0,3,0.0981,0.1172,0.1181,57715,25145,108642,50126
27,18115,9972.0,37,2574.81,44.1,45.0,10.9,88.7,45.0,16505,18115,9.29,6.47,15086,9980.0,3029,11.35,19.23,26459.0,4,0.0980,0.1170,0.1180,52790,25779,99505,51167
28,18115,10172.7,1327,2536.85,49.4,43.1,7.5,84.7,49.4,16505,18115,9.29,6.47,15922,10028.2,2193,11.35,19.81,26538.2,5,0.0978,0.1168,0.1178,55891,26147,106053,51970
29,18115,10263.3,2724,2403.04,51.9,39.7,8.4,84.9,51.9,16505,18115,9.29,6.61,15771,10087.0,2344,11.35,20.51,26648.8,6,0.0977,0.1165,0.1177,45427,26724,92016,53056
30,18115,10219.6,215,2565.80,49.1,44.1,6.9,84.1,49.1,16505,18115,9.38,6.61,17605,10120.1,510,11.35,20.91,26538.6,7,0.0975,0.1163,0.1175,64921,25889,125660,51391
31,18115,10310.5,1164,2434.01,43.1,44.7,12.2,89.9,44.7,16505,18115,9.38,6.61,17072,10167.7,1043,11.35,21.48,26761.8,8,0.0974,0.1161,0.1174,65143,27211,119908,54132
32,18115,10132.4,1458,2375.04,43.8,45.3,10.9,88.7,45.3,16505,18115,9.49,6.61,14849,10158.9,3265,11.35,21.37,26609.0,0,0.0972,0.1158,0.1172,33621,26195,65940,52204
33,18115,10103.8,1835,2425.69,50.0,41.9,8.1,85.2,50.0,16505,18115,9.49,6.61,15238,10145.1,2877,11.35,21.21,26528.0,1,0.0971,0.1156,0.1171,44778,25681,87073,51241
34,18115,10194.3,42,2422.31,50.9,39.4,9.7,86.4,50.9,16505,18115,9.49,6.61,16439,10157.4,1676,11.35,21.35,26690.2,2,0.0969,0.1153,0.1169,43468,26747,85176,53281
35,18115,10294.1,37,2576.55,49.7,38.4,11.9,88.7,49.7,16505,18115,9.49,6.61,15790,10191.6,2325,11.35,21.76,26728.1,0,0.0967,0.1151,0.1167,56950,26926,110630,53514
36,18115,10086.2,435,2604.97,50.6,41.3,8.1,85.0,50.6,16505,18115,9.49,6.61,15156,10165.2,2959,11.35,21.45,26475.9,1,0.0965,0.1148,0.1165,41872,25243,79449,50495
37,18115,10234.4,47,2401.80,58.4,37.2,4.4,77.7,58.4,16505,18115,9.49,6.61,15048,10182.5,3066,11.35,21.65,26626.5,2,0.0964,0.1145,0.1164,48797,26259,92056,52253
38,18115,10271.2,1836,2278.09,56.9,37.8,5.3,79.6,56.9,16505,18115,9.49,6.62,15930,10204.7,2184,11.35,21.92,26654.6,0,0.0962,0.1143,0.1162,52277,26374,108208,52508
39,18115,10241.2,1270,2445.34,55.0,41.6,3.4,78.5,55.0,16505,18115,9.49,6.62,16030,10213.8,2084,11.35,22.03,26672.8,1,0.0960,0.1140,0.1160,54408,26545,105345,52522
40,18115,10351.8,734,2476.98,55.6,40.0,4.4,79.3,55.6,16505,18115,9.49,6.62,16203,10248.3,1912,11.35,22.44,26778.8,2,0.0958,0.1137,0.1158,53382,27063,101887,53921
41,18115,10293.9,1973,2343.88,50.9,43.8,5.3,81.9,50.9,16505,18115,9.49,6.62,15730,10259.7,2385,11.35,22.57,26769.8,3,0.0956,0.1134,0.1156,39031,26929,77822,53823
42,18115,10282.9,2325,2377.08,49.7,43.4,6.9,84.0,49.7,16505,18115,9.49,6.62,15910,10265.5,2205,11.35,22.64,26773.9,4,0.0954,0.1131,0.1154,42318,27035,82493,53623
43,18115,10328.5,1805,2295.51,49.1,44.7,6.3,83.4,49.1,16505,18115,9.49,6.62,14833,10281.3,3282,11.35,22.83,26735.0,5,0.0952,0.1128,0.1152,49962,26700,98633,53075
44,18115,10334.0,458,2443.75,50.3,42.5,7.2,84.2,50.3,16902,18115,9.49,6.62,16902,10294.4,1213,11.35,22.99,26746.5,6,0.0950,0.1125,0.1150,47501,26734,90834,53156
45,18125,10169.8,1557,2506.35,45.9,47.8,6.3,83.5,47.8,16902,18125,9.49,6.62,18125,10263.3,0,11.41,22.62,26571.9,7,0.0948,0.1122,0.1148,69515,25575,129427,50929
46,18125,10234.1,234,2364.02,39.7,52.2,8.1,84.5,52.2,16902,18125,9.62,6.62,15610,10256.0,2515,11.41,22.53,26758.0,8,0.0946,0.1119,0.1146,37857,26819,78298,53498
47,18125,9995.5,586,2594.12,42.2,50.3,7.5,84.5,50.3,16902,18125,9.62,6.62,15804,10190.9,2321,11.41,21.75,26495.5,0,0.0944,0.1115,0.1144,45057,25274,85343,50367
48,18125,10224.5,1238,2218.87,36.9,53.1,10.0,85.8,53.1,16902,18125,9.62,6.62,15342,10199.3,2783,11.41,21.85,26646.9,1,0.0941,0.1112,0.1141,58779,26312,106626,52211
49,18125,10164.2,52,2584.46,40.0,50.9,9.1,85.8,50.9,16902,18125,9.62,6.62,14919,10190.5,3206,11.41,21.75,26568.5,0,0.0939,0.1109,0.1139,53437,25814,101903,51222
50,18125,10435.5,814,2404.47,45.0,45.0,10.0,87.8,45.0,16902,18125,9.62,6.62,16295,10251.7,1830,11.41,22.48,26841.7,1,0.0937,0.1105,0.1137,66535,27467,117724,54464
51,18125,10224.9,803,2546.72,46.3,45.3,8.4,86.0,46.3,16902,18125,9.62,6.62,15484,10245.0,2641,11.41,22.40,26663.2,0,0.0935,0.1102,0.1135,55518,26266,105302,52193
52,18125,10260.9,290,2159.37,45.0,44.4,10.6,88.4,45.0,16902,18125,9.69,6.62,15164,10249.0,2961,11.41,22.45,26682.2,1,0.0932,0.1099,0.1132,56366,26356,107195,52480
53,18125,10109.6,589,2708.55,47.5,43.4,9.1,86.6,47.5,16902,18125,9.69,6.62,16684,10214.1,1441,11.41,22.03,26574.0,2,0.0930,0.1095,0.1130,57603,25763,106852,51193
54,18125,10003.5,392,2654.50,49.1,40.9,10.0,87.3,49.1,16902,18125,9.69,6.62,16965,10161.5,1160,11.41,21.40,26484.5,3,0.0928,0.1091,0.1128,67255,25329,123676,50303
55,18125,10068.5,392,2645.23,50.6,38.1,11.3,87.9,50.6,16902,18125,9.69,6.62,15424,10138.2,2701,11.41,21.12,26500.1,4,0.0925,0.1088,0.1125,39783,25514,77590,50624
56,18125,10198.1,37,2394.14,51.3,40.3,8.4,85.2,51.3,16902,18125,9.69,6.62,15153,10153.2,2972,11.41,21.30,26620.5,5,0.0923,0.1084,0.1123,53328,26234,102696,52228
57,18125,10105.3,215,2652.03,51.6,39.1,9.4,85.9,51.6,16902,18125,9.69,6.62,16496,10141.2,1629,11.41,21.16,26497.7,6,0.0920,0.1081,0.1120,54747,25449,108614,50668
58,18125,10271.0,797,2371.61,54.4,36.3,9.4,84.6,54.4,16902,18125,9.69,6.62,16085,10173.7,2039,11.41,21.55,26626.1,7,0.0918,0.1077,0.1118,58955,26215,114917,52167
59,18125,9997.9,69,2694.65,55.9,35.0,9.1,83.5,55.9,17050,18125,9.69,6.62,17050,10129.7,1075,11.41,21.02,26469.1,8,0.0915,0.1073,0.1115,51174,25276,100227,50393
60,18125,10014.7,79,2670.08,49.4,40.3,10.3,87.5,49.4,17050,18125,9.69,6.62,16003,10101.0,2122,11.41,20.68,26539.3,9,0.0913,0.1069,0.1113,53736,25864,97786,51427
61,18125,10014.9,625,2571.30,49.1,38.4,12.5,89.4,49.1,17050,18125,9.69,6.62,15023,10079.5,3102,11.41,20.42,26448.2,10,0.0910,0.1065,0.1110,52509,25319,99138,50347
62,18125,10020.7,139,2557.03,44.7,38.1,17.2,93.8,44.7,17050,18125,9.69,6.62,16274,10064.8,1851,11.41,20.25,26541.2,11,0.0908,0.1062,0.1108,55976,25944,107909,51764
63,18125,10221.0,105,2451.36,51.6,35.6,12.8,88.6,51.6,17050,18125,9.69,6.62,15069,10103.8,3056,11.41,20.71,26734.1,12,0.0905,0.1058,0.1105,49099,27176,94173,53954
64,18125,10255.0,492,2639.48,49.4,33.8,16.9,92.1,49.4,17050,18125,9.75,6.62,16248,10141.6,1877,11.41,21.16,26700.7,0,0.0902,0.1054,0.1102,65017,26823,119476,53321
65,18125,10133.5,37,2845.16,47.8,35.3,16.9,92.7,47.8,17050,18125,9.75,6.62,16919,10139.6,1206,11.41,21.14,26584.4,1,0.0900,0.1050,0.1100,51547,26024,100814,51851
66,18125,10067.7,41,2574.65,47.2,35.3,17.5,93.3,47.2,17050,18125,9.75,6.62,15754,10121.6,2371,11.41,20.92,26587.5,2,0.0897,0.1046,0.1097,43148,26125,82204,51939
67,18125,10123.5,445,2572.83,42.8,37.2,20.0,95.8,42.8,17050,18125,9.75,6.62,15611,10122.1,2514,11.41,20.93,26706.8,3,0.0895,0.1042,0.1095,38629,26917,73913,53531
68,18125,10052.4,265,2436.98,50.6,32.8,16.6,91.3,50.6,17050,18125,9.75,6.62,15755,10104.7,2370,11.41,20.72,26669.4,4,0.0892,0.1038,0.1092,59038,26711,115752,53159
69,18422,10067.8,632,2609.87,50.3,33.4,16.3,91.3,50.3,17050,18422,9.90,6.62,18422,10095.4,0,13.24,20.61,26852.7,5,0.0889,0.1034,0.1089,57622,25994,109419,51662
70,18422,10422.3,37,2586.24,49.4,30.9,19.7,93.3,49.4,17050,18422,9.90,6.62,16693,10177.2,1729,13.24,21.59,27108.4,0,0.0886,0.1030,0.1086,51492,27476,103172,54531
71,18422,10201.2,845,2546.62,39.7,32.2,28.1,99.0,39.7,17050,18422,9.90,6.62,15609,10183.2,2813,13.24,21.66,27020.9,0,0.0884,0.1025,0.1084,50216,26864,98572,53350
72,18422,10245.8,37,2667.28,46.6,25.6,27.8,96.0,46.6,17050,18422,9.90,6.62,17441,10198.8,981,13.24,21.85,27023.7,1,0.0881,0.1021,0.1081,74811,26832,141260,53304
73,18422,10168.0,591,2660.79,47.5,22.2,30.3,95.0,47.5,17050,18422,9.90,6.62,15299,10191.1,3123,13.24,21.76,26993.0,2,0.0878,0.1017,0.1078,41522,26570,83359,53126
74,18422,10205.6,37,2543.54,45.9,23.1,30.9,96.0,45.9,17050,18422,9.90,6.62,15950,10194.8,2472,13.24,21.80,27031.2,3,0.0875,0.1013,0.1075,47539,26908,90821,53396
75,18422,10332.3,41,2667.47,47.5,27.2,25.3,95.5,47.5,17050,18422,9.90,6.62,17226,10229.2,1197,13.24,22.21,27109.4,4,0.0872,0.1009,0.1072,47225,27331,92717,54223
76,18422,10368.3,581,2635.19,43.8,30.9,25.3,97.3,43.8,17050,18422,9.90,6.62,16307,10263.9,2115,13.24,22.63,27120.9,5,0.0870,0.1004,0.1070,60784,27260,112267,54264
77,18422,10305.6,831,2324.27,44.7,28.1,27.2,97.1,44.7,17050,18422,9.90,6.62,15537,10274.4,2885,13.24,22.75,27111.1,6,0.0867,0.1000,0.1067,55141,27171,101159,54054
78,18422,10301.7,288,2440.31,45.0,26.6,28.4,96.9,45.0,17050,18422,9.90,6.62,15757,10281.2,2665,13.24,22.83,27114.2,7,0.0864,0.0996,0.1064,41210,27155,80767,54090
79,18422,10338.1,465,2752.55,48.8,27.2,24.1,94.6,48.8,17050,18422,9.90,6.62,15842,10295.4,2580,13.24,23.00,27153.4,8,0.0861,0.0991,0.1061,52047,27405,96435,54457
80,18422,10323.7,37,2535.43,48.8,27.2,24.1,94.6,48.8,17050,18422,9.91,6.67,15616,10302.5,2806,13.24,23.09,27134.1,9,0.0858,0.0987,0.1058,47425,27277,93957,54107
81,18422,10500.4,37,2473.53,41.3,35.0,23.8,97.6,41.3,17050,18422,9.91,6.67,15692,10352.0,2731,13.24,23.68,27292.0,10,0.0855,0.0983,0.1055,53992,28200,106170,55873
82,18422,10401.0,463,2510.53,37.5,30.3,32.2,99.6,37.5,17050,18422,9.91,6.67,15696,10364.2,2726,13.24,23.82,27285.3,0,0.0852,0.0978,0.1052,43177,28091,85300,55772
83,18422,10339.0,1441,2455.75,36.6,32.2,31.3,99.8,36.6,17050,18422,9.91,6.67,15991,10357.9,2431,13.24,23.75,27291.5,1,0.0849,0.0974,0.1049,50971,28189,98171,55809
84,18422,10199.7,405,2874.09,36.3,38.1,25.6,98.6,38.1,17145,18422,9.91,6.67,17145,10318.4,1277,13.24,23.28,27130.0,2,0.0846,0.0970,0.1046,62186,27128,124863,54127
85,18422,10502.1,851,2623.55,37.2,31.6,31.3,99.7,37.2,17145,18422,9.91,6.67,15466,10364.3,2956,13.24,23.82,27276.1,3,0.0843,0.0965,0.1043,61360,28003,119821,55710
86,18422,10372.9,37,2560.37,41.9,25.0,33.1,97.9,41.9,17145,18422,9.91,6.67,15147,10366.5,3275,13.24,23.85,27190.9,4,0.0840,0.0961,0.1040,49683,27449,101146,54515
87,18422,10372.2,681,2501.15,36.3,29.7,34.1,99.7,36.3,17145,18422,9.91,6.67,15734,10367.9,2688,13.24,23.87,27194.2,5,0.0837,0.0956,0.1037,49780,27467,98426,54550
88,18422,10425.7,54,2493.47,41.3,34.1,24.7,97.9,41.3,17145,18422,9.91,6.67,15385,10382.3,3037,13.24,24.04,27321.2,6,0.0835,0.0952,0.1035,53472,28243,97465,56219
89,18422,10295.7,37,2454.37,40.3,30.3,29.4,98.9,40.3,17145,18422,9.91,6.67,15209,10360.7,3213,13.24,23.78,27116.7,7,0.0832,0.0947,0.1032,48210,26895,91017,53737
90,18422,10280.1,56,2669.86,36.9,30.9,32.2,99.7,36.9,17145,18422,9.91,6.67,17588,10340.5,834,13.24,23.54,27113.3,8,0.0829,0.0943,0.1029,66748,26974,123148,53715
91,18422,10370.5,37,2491.91,43.8,30.0,26.3,97.5,43.8,17145,18422,9.91,6.67,15689,10348.0,2733,13.24,23.63,27155.1,9,0.0826,0.0938,0.1026,53285,27275,99662,54128
92,18422,10502.7,41,2433.05,49.4,20.9,29.7,93.6,49.4,17145,18422,9.91,6.67,15299,10386.7,3123,13.24,24.09,27308.4,10,0.0823,0.0934,0.1023,53742,28202,100224,55893
93,18422,10528.8,339,2382.73,42.2,24.7,33.1,97.7,42.2,17145,18422,9.91,6.67,17419,10422.2,1003,13.24,24.52,27352.4,0,0.0820,0.0929,0.1020,67105,28378,124462,56288
94,18422,10338.1,936,2266.67,42.8,21.9,35.3,96.6,42.8,17145,18422,9.91,6.67,15274,10401.2,3148,13.24,24.26,27179.3,1,0.0817,0.0925,0.1017,34994,27203,68898,54299
95,18422,10449.6,54,2608.85,41.9,17.8,40.3,94.6,41.9,17145,18422,9.91,6.67,16682,10413.3,1740,13.24,24.41,27257.5,2,0.0814,0.0920,0.1014,50747,27761,95099,55102
96,18422,10345.1,917,2531.70,41.6,20.6,37.8,96.3,41.6,17145,18422,9.91,6.67,15945,10396.2,2477,13.24,24.21,27247.5,3,0.0811,0.0916,0.1011,56597,27724,110887,55121
97,18422,10416.2,215,2606.41,43.4,20.3,36.3,95.8,43.4,17145,18422,9.91,6.67,16426,10401.2,1996,13.24,24.27,27258.8,4,0.0808,0.0911,0.1008,58117,27776,106135,55260
98,18422,10300.7,37,2516.63,40.0,20.3,39.7,96.2,40.0,17145,18422,9.91,6.67,15995,10376.1,2427,13.24,23.97,27177.8,5,0.0805,0.0907,0.1005,44124,27271,88181,54424
99,18422,10565.4,218,2763.72,45.9,20.9,33.1,95.3,45.9,17145,18422,9.91,6.67,16410,10423.4,2012,13.24,24.53,27362.1,6,0.0802,0.0902,0.1002,59622,28460,113108,56362
100,18422,10512.0,37,2550.93,52.8,21.3,25.9,91.3,52.8,17145,18422,9.91,6.67,15766,10445.6,2656,13.24,24.80,27454.6,0,0.0798,0.0898,0.0998,51567,28957,97859,57587
101,18422,10501.1,458,2723.77,55.9,19.4,24.7,88.3,55.9,17145,18422,9.91,6.73,17142,10459.5,1280,13.24,24.96,27408.4,1,0.0795,0.0893,0.0995,64335,28600,119960,56905
102,18422,10511.4,696,2510.25,52.2,18.1,29.7,91.0,52.2,17145,18422,9.91,6.73,15387,10472.4,3035,13.24,25.12,27440.2,2,0.0792,0.0889,0.0992,44734,28759,87622,57282
103,18422,10759.0,1179,2427.76,50.6,18.8,30.6,92.2,50.6,17145,18422,9.91,6.73,16610,10544.1,1812,13.24,25.97,27691.3,3,0.0789,0.0884,0.0989,51240,30280,101587,60058
104,18422,10461.5,786,2549.76,48.8,15.9,35.3,91.8,48.8,17145,18422,9.91,6.73,17468,10523.4,955,13.24,25.73,27430.3,0,0.0786,0.0880,0.0986,62968,28515,127262,56899
105,18422,10484.3,1998,2608.05,41.3,23.1,35.6,97.4,41.3,17145,18422,9.91,6.73,16096,10513.7,2326,13.24,25.61,27447.3,1,0.0783,0.0875,0.0983,59851,28709,108894,57069
106,18422,10456.4,573,2575.99,40.9,18.4,40.6,95.0,40.9,17145,18422,9.91,6.73,16386,10499.3,2036,13.24,25.44,27403.0,2,0.0780,0.0871,0.0980,54507,28372,111101,56756
107,18422,10598.3,37,2646.92,44.7,21.3,34.1,95.9,44.7,17145,18422,9.91,6.73,16582,10524.1,1840,13.24,25.73,27559.7,3,0.0777,0.0866,0.0977,61746,29372,116062,58629
108,18422,10813.1,381,2662.83,52.2,21.3,26.6,91.8,52.2,17145,18422,9.93,6.73,16592,10596.3,1830,13.24,26.60,27766.4,0,0.0774,0.0862,0.0974,52851,30565,104525,60880
109,18422,10626.4,966,2452.46,56.6,21.9,21.6,87.9,56.6,17223,18422,9.93,6.73,17223,10603.8,1199,13.24,26.69,27647.5,0,0.0771,0.0857,0.0971,65861,29746,125717,59258
110,18422,10705.6,37,2496.26,62.5,18.4,19.1,80.9,62.5,17223,18422,9.93,6.73,16044,10629.3,2379,13.24,26.99,27696.1,1,0.0768,0.0853,0.0968,57784,29948,115437,59860
111,18422,10705.7,488,2637.37,67.2,16.6,16.3,74.2,67.2,17223,18422,9.93,6.73,15477,10648.4,2945,13.24,27.22,27774.9,2,0.0765,0.0848,0.0965,52185,30490,102736,60626
112,18422,10547.3,570,2532.24,67.8,18.4,13.8,73.1,67.8,17223,18422,9.93,6.73,16289,10623.1,2133,13.24,26.92,27614.0,3,0.0763,0.0844,0.0963,55397,29424,106177,58791
