gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late,best_card,avg_card
0,3616,2091.8,365,949.97,26.7,50.0,23.3,3226,3616,8.47,5.15,3616,2091.8,0,10491,4230,20115,8348
1,4037,2343.8,435,958.79,20.0,56.7,23.3,4037,3861,8.73,5.15,4037,2154.8,0,14613,5236,26594,10460
2,4037,2198.0,365,777.71,16.7,66.7,16.7,4037,3861,8.73,5.39,3682,2165.6,355,9220,4418,18630,9044
3,4075,2375.7,543,864.54,33.3,60.0,6.7,4037,4075,8.73,5.39,4075,2218.1,0,6676,4393,13267,8933
4,4075,2706.7,780,847.84,30.0,60.0,10.0,4037,4075,8.73,5.39,3987,2340.3,88,10331,6008,20282,12101
5,4524,2596.4,670,926.61,36.7,56.7,6.7,4037,4524,8.73,5.39,4524,2404.3,0,9812,4812,20835,9998
6,4524,2478.6,10,1057.97,30.0,53.3,16.7,4313,4524,8.73,5.39,4479,2422.9,45,19353,5356,36633,10850
7,4524,2740.1,14,1042.99,33.3,56.7,10.0,4339,4524,8.73,5.39,4339,2502.2,185,10540,5065,20323,10312
8,4690,2722.1,188,899.50,40.0,43.3,16.7,4650,4690,8.73,5.39,4690,2557.2,0,12999,5610,24931,11179
9,4690,2632.6,551,1019.48,50.0,36.7,13.3,4650,4690,8.73,5.39,4401,2576.0,289,12815,4778,23446,9516
10,4690,2849.5,556,887.78,30.0,50.0,20.0,4650,4690,8.73,5.39,4461,2644.4,229,16294,7067,30427,14044
11,4690,2854.1,234,912.75,16.7,63.3,20.0,4650,4690,8.79,5.39,4329,2696.8,361,14994,6273,28432,12591
12,4690,2648.2,398,1109.52,26.7,53.3,20.0,4650,4690,8.79,5.39,4392,2684.7,299,12051,5332,24033,10631
13,4739,2550.1,30,1262.06,26.7,43.3,30.0,4650,4690,8.89,5.39,4739,2651.0,0,18092,5943,34996,11893
14,4739,2683.2,225,837.82,36.7,50.0,13.3,4650,4690,8.97,5.39,3953,2659.1,787,15225,5936,26143,11805
15,5130,2725.5,720,1091.31,46.7,33.3,20.0,4650,4690,8.97,5.39,5130,2675.7,0,23192,7067,43582,13925
16,5130,2642.9,544,938.77,33.3,43.3,23.3,4650,4690,8.97,5.39,4155,2667.5,974,15195,5840,28780,11480
17,5130,2920.4,379,1086.38,43.3,36.7,20.0,4650,4694,8.97,5.39,4694,2730.7,436,12676,7806,25500,15323
18,5130,2637.2,12,1034.92,50.0,36.7,13.3,4650,4694,8.97,5.39,4120,2707.4,1009,8110,6142,16987,12535
19,5130,2687.0,469,793.44,56.7,33.3,10.0,4650,4694,8.97,5.57,4124,2702.3,1005,10017,5435,19467,11113
20,5130,2901.2,1417,764.90,56.7,33.3,10.0,4650,4694,8.97,5.57,4555,2752.0,574,20701,7002,35077,14067
21,5130,2836.8,1006,835.98,46.7,43.3,10.0,4803,4694,8.97,5.57,4803,2773.2,326,14026,7257,26282,14456
22,5131,2840.3,281,1100.50,43.3,50.0,6.7,5131,4851,8.97,5.57,5131,2790.0,0,18577,7583,34987,14689
23,5131,2688.8,508,876.07,50.0,40.0,10.0,5131,4851,8.97,5.57,4359,2764.7,772,8683,5931,18001,12039
24,5131,2753.1,1193,794.57,46.7,43.3,10.0,5131,4851,8.97,5.65,4207,2761.8,924,10469,6879,22138,13645
25,5131,2878.9,930,907.43,46.7,53.3,0.0,5131,4851,8.97,5.65,5074,2791.0,57,18211,6833,32880,13616
26,5131,2831.5,1215,805.55,40.0,56.7,3.3,5131,4851,8.97,5.65,4297,2801.2,834,15421,6212,30066,12543
27,5131,2641.1,322,1006.23,36.7,63.3,0.0,5131,4868,8.97,5.65,4868,2761.1,263,19123,6629,38456,13581
28,5131,2613.5,365,846.04,23.3,73.3,3.3,5131,4868,9.47,5.65,3982,2724.2,1149,10459,6145,21025,12428
29,5131,2339.9,448,905.14,36.7,60.0,3.3,5131,4868,9.47,5.65,4432,2628.2,698,13450,4950,26600,9948
30,5131,2446.4,213,916.92,50.0,46.7,3.3,5131,4868,9.47,5.65,3942,2582.7,1188,12345,5005,23439,9985
31,5131,2728.6,731,785.96,63.3,30.0,6.7,5131,4868,9.47,5.65,3956,2619.2,1175,15227,6364,27889,12622
32,5131,2699.3,277,1021.97,50.0,43.3,6.7,5131,4868,9.47,5.65,4332,2639.2,799,16969,5671,33670,11292
33,5131,2491.6,377,796.21,50.0,46.7,3.3,5131,4868,9.47,5.65,3950,2602.3,1181,11637,4649,22215,9411
34,5131,2899.6,578,896.17,56.7,36.7,6.7,5131,4868,9.47,5.65,4545,2676.6,586,13949,6698,25163,13429
35,6590,3126.4,745,1094.31,36.7,60.0,3.3,6590,5120,9.47,5.65,6590,2789.1,0,28648,6524,53334,13094
36,6590,2857.7,222,1080.83,33.3,60.0,6.7,6590,5120,9.47,5.65,5355,2806.2,1235,15165,6357,30345,12872
37,6590,2658.0,10,1117.79,36.7,60.0,3.3,6590,5120,9.47,5.65,4358,2769.2,2232,7722,5199,14970,10783
38,6590,2790.4,492,910.07,30.0,66.7,3.3,6590,5120,9.47,5.65,4640,2774.5,1950,17447,6551,32038,13223
39,6590,2981.5,287,1157.50,40.0,50.0,10.0,6590,5120,9.47,5.65,6026,2826.3,563,21037,7211,39004,14365
